routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,setKind,generationPatternGroupIds,compatiblePatternSpecIds,currentVerifiedMaxQuestionCount,currentQualityStatus,currentUniqueItemSetCount,r04GapCodes
pgc_r03_g3a_u06_3a06_numeric_b9596b7ab643,g3a_u06_3a06,singleKnowledgePoint,kp_g3a_u06_partitive_division_equal_sharing,numeric,single-form,pg_g3a_u06_partitive_division_equal_sharing,ps_g3a_u06_partitive_division_equal_sharing,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u06_3a06_numeric_2f13ee63e867,g3a_u06_3a06,singleKnowledgePoint,kp_g3a_u06_parity_range_missing_digit,numeric,single-form,pg_g3a_u06_parity_range_missing_digit,ps_g3a_u06_parity_range_missing_digit,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3b_u01_3b01_numeric_a681cd1f2492,g3b_u01_3b01,singleKnowledgePoint,kp_g3b_u01_wp_partitive_division,numeric,single-form,pg_g3b_u01_wp_partitive_division,ps_g3b_u01_wp_partitive_equal_sharing|ps_g3b_u01_wp_partitive_unit_rate,9,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g3b_u01_3b01_numeric_5637742f4d5c,g3b_u01_3b01,singleKnowledgePoint,kp_g3b_u01_wp_remainder_interpretation,numeric,single-form,pg_g3b_u01_wp_remainder_interpretation,ps_g3b_u01_wp_remainder_floor_max_groups|ps_g3b_u01_wp_remainder_ceil_min_containers,9,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g3b_u04_3b04_numeric_da4bc99acb92,g3b_u04_3b04,sourceUnit,,numeric,source-unit,,ps_g3b_u04_consecutive_multiplication,3,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g3b_u04_3b04_numeric_aaa25276d55e,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_consecutive_multiplication,numeric,single-form,pg_g3b_u04_consecutive_multiplication_numeric,ps_g3b_u04_consecutive_multiplication,3,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g4a_u01_4a01_numeric_dae61ad53455,g4a_u01_4a01,singleKnowledgePoint,kp_g4a_u01_boundary_number_difference,numeric,single-form,pg_g4a_u01_boundary_number_difference,ps_g4a_u01_boundary_number_difference,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g4a_u01_4a01_numeric_69c208757b03,g4a_u01_4a01,singleKnowledgePoint,kp_g4a_u01_digit_arrangement_max_min,numeric,single-form,pg_g4a_u01_digit_arrangement_max_min,ps_g4a_u01_digit_arrangement_max_min,16,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g4a_u08_4a08_numeric_14362959bfec,g4a_u08_4a08,singleKnowledgePoint,kp_g4a_u08_num_parentheses_first,numeric,single-form,pg_g4a_u08_num_parentheses_first,ps_g4a_u08_parentheses_add_sub|ps_g4a_u08_parentheses_mul_div,17,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g4a_u08_4a08_numeric_4007258fe55a,g4a_u08_4a08,singleKnowledgePoint,kp_g4a_u08_num_repeated_subtract_group,numeric,single-form,pg_g4a_u08_num_repeated_subtract_group,ps_g4a_u08_num_repeated_subtract_group,11,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
