routeId,sourceId,questionType,verifiedMaxQuestionCount,qualityStatus,uniqueItemSetCount,uniqueOrderedWorksheetCount,crossSeedDiversityPassed
pgc_r03_g3b_u08_3b08_application_e40dfe529252,g3b_u08_3b08,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u08_3b08_application_e7d49d197b53,g3b_u08_3b08,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_857fc95f0c95,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_application_d1fffee38114,g4a_u01_4a01,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_bd44d89a23c9,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_76db20dfcb35,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_ea2eddc45e86,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_a60720a40c15,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_9068588f0ff8,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_cf396f145515,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_28a84d5d9a8c,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_d49944f461bf,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_d8abf7a80682,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_e480d92db668,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_07e100fa0d69,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_e20bea238761,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_9e9341b696c0,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_c00f91d31af1,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_dae61ad53455,g4a_u01_4a01,numeric,8,FIXTURE_SELECTOR,1,10,false
pgc_r03_g4a_u01_4a01_application_afd50c2cb6b2,g4a_u01_4a01,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_application_eaef4e4bbcba,g4a_u01_4a01,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_69c208757b03,g4a_u01_4a01,numeric,16,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_numeric_79c48e346809,g4a_u01_4a01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u01_4a01_application_b803c9c013fc,g4a_u01_4a01,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u02_4a02_numeric_dc79b829ced2,g4a_u02_4a02,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u02_4a02_application_381f26d07d56,g4a_u02_4a02,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g4a_u02_4a02_numeric_91c16c89471f,g4a_u02_4a02,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
