routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,setKind,generationPatternGroupIds,compatiblePatternSpecIds,currentVerifiedMaxQuestionCount,currentQualityStatus,currentUniqueItemSetCount,contractGapCodes,liveAcceptanceFailures,accepted20AcrossSeeds,requiresRepair
pgc_r03_g3b_u04_3b04_application_893b211bcdf6,g3b_u04_3b04,sourceUnit,,application,source-unit,,ps_g3b_u04_add_divide_joint_purchase_equal_share|ps_g3b_u04_add_divide_pooled_money_unit_price|ps_g3b_u04_add_divide_combined_inventory_equal_distribution|ps_g3b_u04_add_divide_combined_liquid_equal_portions|ps_g3b_u04_add_divide_promotion_total_equal_share|ps_g3b_u04_mul_div_buy_get_free_average_price|ps_g3b_u04_mul_div_bonus_units_average_cost|ps_g3b_u04_mul_div_bulk_repack_average_cost|ps_g3b_u04_sub_div_used_amount_then_share|ps_g3b_u04_sub_div_damage_loss_then_package|ps_g3b_u04_sub_div_reserved_amount_then_distribute|ps_g3b_u04_sub_div_absent_participants_then_group|ps_g3b_u04_div_add_shared_cost_plus_personal_purchase|ps_g3b_u04_div_add_new_packages_plus_existing_stock|ps_g3b_u04_div_add_distributed_resources_plus_existing_per_group|ps_g3b_u04_total_minus_share_wallet_minus_shared_purchase|ps_g3b_u04_total_minus_share_personal_budget_minus_group_fee|ps_g3b_u04_total_minus_share_reward_points_minus_shared_redemption|ps_g3b_u04_group_minus_remaining_packaged_total_minus_remaining_sold|ps_g3b_u04_group_minus_remaining_formed_teams_minus_inactive_teams|ps_g3b_u04_group_minus_remaining_prepared_trays_minus_leftover_trays|ps_g3b_u04_consecutive_items_per_row_per_box|ps_g3b_u04_consecutive_units_per_group_per_container|ps_g3b_u04_consecutive_unit_price_items_per_pack_packs|ps_g3b_u04_consecutive_length_width_layers_array|ps_g3b_u04_ratio_length_ratio_composition|ps_g3b_u04_ratio_capacity_ratio_composition|ps_g3b_u04_ratio_weight_ratio_composition|ps_g3b_u04_quantity_chain_personal_quantity_ratio_chain|ps_g3b_u04_quantity_chain_price_equivalence_chain|ps_g3b_u04_quantity_chain_production_capacity_chain|ps_g3b_u04_quantity_chain_age_ratio_chain,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u04_3b04_application_11bba8b043a5,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_add_then_divide,application,single-form,pg_g3b_u04_add_then_divide,ps_g3b_u04_add_divide_joint_purchase_equal_share|ps_g3b_u04_add_divide_pooled_money_unit_price|ps_g3b_u04_add_divide_combined_inventory_equal_distribution|ps_g3b_u04_add_divide_combined_liquid_equal_portions|ps_g3b_u04_add_divide_promotion_total_equal_share,16,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,DUPLICATE_PROMPT,false,true
pgc_r03_g3b_u04_3b04_application_075ff20dc5a6,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_multiply_then_divide_average_unit_price,application,single-form,pg_g3b_u04_multiply_then_divide_average_unit_price,ps_g3b_u04_mul_div_buy_get_free_average_price|ps_g3b_u04_mul_div_bonus_units_average_cost|ps_g3b_u04_mul_div_bulk_repack_average_cost,12,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,DUPLICATE_PROMPT,false,true
pgc_r03_g3b_u04_3b04_application_a82197bfb202,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_subtract_then_divide,application,single-form,pg_g3b_u04_subtract_then_divide,ps_g3b_u04_sub_div_used_amount_then_share|ps_g3b_u04_sub_div_damage_loss_then_package|ps_g3b_u04_sub_div_reserved_amount_then_distribute|ps_g3b_u04_sub_div_absent_participants_then_group,20,DIVERSE_PARAMETER_GENERATOR,10,,DUPLICATE_PROMPT,false,true
pgc_r03_g3b_u04_3b04_application_b01e4074824c,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_divide_then_add,application,single-form,pg_g3b_u04_divide_then_add,ps_g3b_u04_div_add_shared_cost_plus_personal_purchase|ps_g3b_u04_div_add_new_packages_plus_existing_stock|ps_g3b_u04_div_add_distributed_resources_plus_existing_per_group,12,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,,true,true
pgc_r03_g3b_u04_3b04_application_af73cc7665ca,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_total_minus_shared_amount,application,single-form,pg_g3b_u04_total_minus_shared_amount,ps_g3b_u04_total_minus_share_wallet_minus_shared_purchase|ps_g3b_u04_total_minus_share_personal_budget_minus_group_fee|ps_g3b_u04_total_minus_share_reward_points_minus_shared_redemption,16,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,DUPLICATE_PROMPT,false,true
pgc_r03_g3b_u04_3b04_application_73e89dbf8bf0,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_group_total_minus_remaining,application,single-form,pg_g3b_u04_group_total_minus_remaining,ps_g3b_u04_group_minus_remaining_packaged_total_minus_remaining_sold|ps_g3b_u04_group_minus_remaining_formed_teams_minus_inactive_teams|ps_g3b_u04_group_minus_remaining_prepared_trays_minus_leftover_trays,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u04_3b04_application_3602182d8a79,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_consecutive_multiplication,application,single-form,pg_g3b_u04_consecutive_multiplication_application,ps_g3b_u04_consecutive_items_per_row_per_box|ps_g3b_u04_consecutive_units_per_group_per_container|ps_g3b_u04_consecutive_unit_price_items_per_pack_packs|ps_g3b_u04_consecutive_length_width_layers_array,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u04_3b04_application_e854a057330c,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_composite_multiplicative_ratio,application,single-form,pg_g3b_u04_composite_multiplicative_ratio,ps_g3b_u04_ratio_length_ratio_composition|ps_g3b_u04_ratio_capacity_ratio_composition|ps_g3b_u04_ratio_weight_ratio_composition,10,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,DUPLICATE_PROMPT,false,true
pgc_r03_g3b_u04_3b04_application_195bcb35906a,g3b_u04_3b04,singleKnowledgePoint,kp_g3b_u04_multiplicative_quantity_chain,application,single-form,pg_g3b_u04_multiplicative_quantity_chain,ps_g3b_u04_quantity_chain_personal_quantity_ratio_chain|ps_g3b_u04_quantity_chain_price_equivalence_chain|ps_g3b_u04_quantity_chain_production_capacity_chain|ps_g3b_u04_quantity_chain_age_ratio_chain,14,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,DUPLICATE_PROMPT,false,true
